,MAE,NRMSE,SSIM,PCC,Dice,mIOU,r2,psnr
0,0.4981926679611206,0.3620908869409817,0.7339852171665006,0.8902111053466797,0.990753173828125,0.6135206546424397,0.787167882377199,25.09353057167734
1,0.1389448046684265,0.22163136471053432,0.9441542929631151,0.9751977324485779,0.9965667724609375,0.8088361862054493,0.9490161552726147,32.75598594140416
2,0.04655905067920685,0.25898847341282766,0.1629538851762905,0.13191552460193634,0.0028533935546875,0.002853408769937,-15.04797808474354,10.518938575868777
3,0.293582558631897,0.39665371714057074,0.7578996674959327,0.8889355063438416,0.988311767578125,0.17634497167207347,0.7896443341692443,26.966139263948886
4,0.12358491867780685,0.30937874956051353,0.9460161788977278,0.9514204263687134,0.991302490234375,0.5165398502630617,0.901570649302182,29.86054152861488
5,0.34576645493507385,0.22218480194379522,0.7960107291158732,0.9606268405914307,0.905975341796875,0.15123978633060794,0.9217041812677549,28.16150429962817
6,0.16017305850982666,0.5182457314562824,0.788462573085982,0.8636358976364136,0.996978759765625,0.3734197043680242,0.7297880188098121,32.13027026610582
7,0.36711013317108154,0.17363229554707277,0.8317552676863226,0.9754073023796082,0.986175537109375,0.7120153490097428,0.9512839154523793,28.24019378985705
8,0.2932198643684387,0.5830106480260057,0.8074915214008072,0.7462846040725708,0.988800048828125,0.0755679149018704,0.5534824980945303,29.042543003146722
9,0.18361112475395203,0.5957235647831494,0.8214829533719229,0.8086062073707581,0.98248291015625,0.13096205074787984,0.6398233714619044,24.603106235449616
10,0.1801305115222931,0.4663933162726693,0.666371524534321,0.9001883864402771,0.98480224609375,0.35450463091080303,0.7780730699203685,26.332237327278595
11,0.4127641022205353,0.29607767887979203,0.7639610846518832,0.9392498135566711,0.989837646484375,0.306972625418704,0.8790763804596738,27.52586953907819
12,0.27995607256889343,0.4448843519324038,0.80980998909526,0.8645166158676147,0.996246337890625,0.16610452167958753,0.7429960321512473,28.750117996907363
13,0.1872129738330841,0.15727811814726497,0.9545480796414311,0.9853206276893616,0.928802490234375,0.03335425039273868,0.9708059113601815,34.42684269174133
14,0.49828675389289856,0.43361945007929736,0.8113153665386101,0.8961551189422607,0.99359130859375,0.36460005355513836,0.736891872070383,24.989683310693692
15,0.5347021818161011,0.36398553658792376,0.716688198118605,0.8642147779464722,0.9810791015625,0.2731540016682288,0.7462829272675715,24.634441521333642
16,0.17108899354934692,0.4410870880809826,0.8893851149866312,0.8910822868347168,0.995147705078125,0.3588722603381848,0.7940268647973383,29.532935053239825
17,0.5061966180801392,0.23980319546215895,0.8322399236453208,0.9560419321060181,0.993194580078125,0.18464500064899333,0.8998175217642346,27.524501964725687
18,0.33020949363708496,0.392292304300689,0.8702040420673562,0.8945903778076172,0.9914398193359375,0.19280691682458012,0.7993547188820674,30.234487305182142
19,0.32950615882873535,0.41080184579133344,0.6942355620341083,0.8722766041755676,0.9863739013671875,0.4227540900102844,0.7589318745931116,24.36361680529182
20,0.18855604529380798,0.4545346292672093,0.8603624544501438,0.8852909803390503,0.9925537109375,0.09124936452632304,0.7823656535541776,30.31562375896625
21,0.30886322259902954,0.4421908634474955,0.8390841671738618,0.8775982856750488,0.97100830078125,0.056604242003852036,0.7693629953862591,27.971004831807
22,0.17937278747558594,0.4090125562766506,0.8393238148595671,0.8992787003517151,0.9951171875,0.26773622943654596,0.8032345875624799,28.24944909260923
23,0.4298970103263855,0.26048214173184114,0.8420369161082012,0.9536764621734619,0.96929931640625,0.3218741753036146,0.906841292340146,28.074512704003634
24,0.1737188994884491,0.3667235336652268,0.8415806038862494,0.9289534687995911,0.988677978515625,0.33927040136206466,0.8554985372091777,28.73102383295472
25,0.4121685326099396,0.46183762627884195,0.6623641750208313,0.8430208563804626,0.977081298828125,0.13129026530349028,0.703246779822236,26.226319562393627
26,0.5234538912773132,0.4278057642519802,0.691832805601692,0.8282207250595093,0.989654541015625,0.3745393223806989,0.681664908475843,24.369561565817996
27,0.17436695098876953,0.32326945689667846,0.8764314692705616,0.94278883934021,0.998626708984375,0.7096783558762715,0.8872693039688535,31.707748151536883
28,0.3353351056575775,0.23338725112335923,0.8716135408583618,0.9634948372840881,0.970428466796875,0.16609330202525727,0.9244046077096187,30.883652926314404
29,0.3940276503562927,0.32891278390154527,0.8290391739126278,0.9263079166412354,0.9864959716796875,0.2757780067283087,0.8471500149296088,27.46603624261416
30,0.3725477457046509,0.354821338092334,0.7895905025490226,0.8997837901115417,0.9890594482421875,0.27060094547207986,0.8096082971423749,27.789279708391916
31,0.3636457324028015,0.1621441551265093,0.8905717522948825,0.980619490146637,0.98138427734375,0.739650076899258,0.9615243270054566,29.257997353421533
32,0.4533560276031494,0.2203903158350477,0.8050518846139229,0.9584885239601135,0.9477691650390625,0.4703698792557823,0.9181863735501318,26.27721990390397
33,0.29146847128868103,0.39796706046402053,0.9033399383603895,0.9174202084541321,0.9930267333984375,0.3054721801334649,0.8252240756964874,28.42867819794973
34,0.15499761700630188,0.4473145435991287,0.9143093938277441,0.8909295201301575,0.982208251953125,0.07533776737686965,0.7927543188062138,30.313559932835478
35,0.2716148793697357,0.43027331567355015,0.7468990440210365,0.8805215358734131,0.9922637939453125,0.12886747617272137,0.7684671240797492,25.797396348085037
36,0.21094191074371338,0.1464079352311893,0.9180803952812127,0.9858913421630859,0.9461212158203125,0.30642323582336756,0.9719018392436043,32.06442665405217
37,0.19670557975769043,0.45230740331548547,0.7862298772436818,0.8803516626358032,0.99786376953125,0.633508812804155,0.7707783487944075,28.23011692007375
38,0.28075939416885376,0.4636416642746211,0.750587777108746,0.8599350452423096,0.9857025146484375,0.09293408234841981,0.7392357124786471,28.17357976653677
39,0.18485106527805328,0.6240830666773582,0.5874904845884508,0.6931991577148438,0.9908294677734375,0.0594693905017363,0.15976544346089083,25.773231095585935
40,0.25835925340652466,0.5770191709513914,0.6907004698997365,0.7932734489440918,0.9930877685546875,0.23479858986724686,0.6234015048526305,27.196774911346886
41,0.44404393434524536,0.43746127563233556,0.6279693937474442,0.8379523754119873,0.96966552734375,0.26615014169429985,0.6998296706702323,23.322424286325184
42,0.2956310212612152,0.11840303273266428,0.8959927223860739,0.9887522459030151,0.93804931640625,0.51007608180571,0.9775476072325866,30.835430627932414
43,0.3645913898944855,0.1742252748443832,0.8756148563367641,0.9764810800552368,0.974609375,0.634767419936914,0.9533567580205875,29.34801802663452
44,0.20632407069206238,0.420433924821157,0.8131456121557927,0.8999056220054626,0.975799560546875,0.2714748408475696,0.8084788765802126,26.45026961907879
45,0.26200634241104126,0.3950060018833812,0.8467247794747962,0.9021317958831787,0.9994659423828125,0.6568661091557926,0.8070244429865836,32.02805625829295
