,MAE,NRMSE,SSIM,PCC,Dice,mIOU,R2,psnr
0,0.1909794956445694,0.4520196728677915,0.8118158381033165,0.9073566794395447,0.9669342041015625,0.12017900114535071,0.7953830825568518,26.858004578298782
1,0.2014123499393463,0.48587407014443945,0.6682686801416575,0.8718891739845276,0.964202880859375,0.10046046761485136,0.7598754647041127,27.23162656928077
2,0.40698790550231934,0.45712879083972746,0.6056146059895875,0.7515374422073364,0.8878936767578125,0.1371698018590955,0.5478935862023755,22.111026603804035
3,0.2071537971496582,0.4734194953846154,0.7910829183281788,0.898865282535553,0.9808807373046875,0.1157380975736785,0.7758695567028425,26.84606087867451
4,0.33836132287979126,0.6671208499997267,0.546412363729624,0.7816542983055115,0.9725799560546875,0.2549754332605998,0.5516165235742514,21.438150552480487
5,0.2934366464614868,0.39806249507964453,0.6995145106717783,0.9159878492355347,0.9615478515625,0.24301614808766953,0.8209408545935728,25.779618105389574
6,0.20905612409114838,0.4937756408847954,0.5193502850587912,0.7521472573280334,0.974151611328125,0.15972263902646872,0.4839313857423736,24.309549178940916
7,0.23374055325984955,0.3617109891316282,0.7667535057266057,0.9328632950782776,0.9726715087890625,0.4020035385630923,0.8607366398941668,24.64549499673297
8,0.23417167365550995,0.5991941956186725,0.6492490313196495,0.8093910813331604,0.9810638427734375,0.1266719727853816,0.6384236461602457,23.937190215406126
9,0.26014775037765503,0.4155065864310431,0.7386632169880988,0.9024251103401184,0.984405517578125,0.38433772027848173,0.7976751153649192,25.89779484841227
10,0.302461177110672,0.4416401321565856,0.5812477408046114,0.8667685389518738,0.9632720947265625,0.35898818668756677,0.7298198234256597,23.468827407914958
11,0.22221237421035767,0.7348753224008848,0.6220487394521853,0.6808172464370728,0.9529571533203125,0.017840389346801735,0.41832691100576935,24.610376836901004
12,0.16631725430488586,0.4056084271376838,0.750585447519809,0.9105687141418457,0.9740142822265625,0.11715960748594739,0.8288797595915185,26.179895114060017
13,0.27784430980682373,0.3921565355579789,0.6435555055088664,0.9116208553314209,0.9650726318359375,0.22275068836988507,0.7889674395172654,26.27701982090535
14,0.1901034563779831,0.4534832430156884,0.8528853403727205,0.9005754590034485,0.9659423828125,0.10181122663532127,0.7924874208914011,26.964520706188495
15,0.1952577829360962,0.43098210913628027,0.7098734707492366,0.8930230736732483,0.9687347412109375,0.054453597391048734,0.7785646008408295,27.617536546853664
16,0.32851526141166687,0.5506427305682136,0.5478616552298696,0.8019721508026123,0.9727020263671875,0.27335529108233503,0.6406349589316069,23.43032696925205
17,0.3039097785949707,0.5295163009569243,0.6191159854230498,0.81025630235672,0.95654296875,0.1236925773253608,0.6484322362453219,24.312083125891995
18,0.2150210440158844,0.35958659593778985,0.7034305635451777,0.9096908569335938,0.9909820556640625,0.47699161328175815,0.7964312304571133,27.87800082748039
19,0.2866817116737366,0.4028787079984622,0.6164167563439216,0.8907856941223145,0.955596923828125,0.24845060732164065,0.7891168657557185,23.667108443101892
20,0.07485616952180862,0.21815338654111396,0.9283412872426146,0.9715805649757385,0.9900665283203125,0.37524052280180153,0.9244889405635565,33.418635797234764
21,0.2204756736755371,0.41824482857539685,0.8077450519388347,0.9285076260566711,0.971466064453125,0.15192782225495588,0.8249773801322287,25.77637454254903
22,0.3638552725315094,0.38083376546953857,0.614817088718279,0.8605386018753052,0.9429931640625,0.2505518053055556,0.7298686071697967,23.637419582161314
23,0.08121823519468307,0.20345769889106843,0.48928268393935564,0.9596822261810303,0.9228057861328125,0.14500605965758667,0.9207724822604753,24.589870298725593
24,0.13811898231506348,0.4412227886098806,0.717630351668141,0.8748919367790222,0.97430419921875,0.13508005388800517,0.7421277274074145,24.25706226114469
25,0.21285420656204224,0.4759982937071081,0.6798073502690369,0.8307461738586426,0.9582672119140625,0.10679323749404392,0.6896036473518361,26.48341170815646
26,0.211742103099823,0.6018068997114642,0.6807370167277149,0.8164681196212769,0.975128173828125,0.12412728418738088,0.6360270398270063,23.36395445889258
27,0.2433588057756424,0.7932055195201166,0.7023586385339563,0.6935921907424927,0.9398651123046875,0.0007609024439902525,0.3704812667174795,23.79955636318334
28,0.4048757553100586,0.49985117042586763,0.5728387387101378,0.7929989695549011,0.9503936767578125,0.22539927915194682,0.6266124472133314,22.758953229330523
29,0.26007628440856934,0.38988925916680217,0.6693986697182419,0.8810147643089294,0.921661376953125,0.08321444942599117,0.7460635545665162,26.015461340814355
30,0.28067663311958313,0.37419815885104923,0.6256071047770925,0.8837337493896484,0.95947265625,0.329462426290728,0.766854036831089,24.296292183526376
31,0.08491199463605881,0.21322169809387678,0.4870542984315514,0.9687135219573975,0.86016845703125,0.18751669584921574,0.934271477289212,24.54322411877061
32,0.39866527915000916,0.41139702062500283,0.6790138862744755,0.8973493576049805,0.8990020751953125,0.14038972202730882,0.7667716409414407,23.444381113439924
33,0.2071552276611328,0.36626634185378215,0.7711191815806103,0.9329560995101929,0.9500732421875,0.22993663687064322,0.864168800858047,26.312252105930266
34,0.4922558069229126,0.4739448347279896,0.5607058186949924,0.8647984862327576,0.90631103515625,0.181660778133976,0.6593967888200738,20.845962658866984
35,0.16907119750976562,0.41126518908764126,0.7533958167117862,0.9141258597373962,0.949371337890625,0.08190396184173716,0.8308490202261883,27.736676282356125
36,0.09760074317455292,0.33717392731840506,0.8752070199008196,0.912909746170044,0.98370361328125,0.048129190615694636,0.8304786772930252,29.66772359404114
37,0.3331950604915619,0.3883699843728035,0.709175730868102,0.8336851000785828,0.9351348876953125,0.0947616919161644,0.6921141732478304,25.13701207078608
38,0.24788345396518707,0.35148430358134775,0.8061183197893127,0.9424706697463989,0.981903076171875,0.4046187727817406,0.8613783607451238,25.861136373081894
39,0.2371283918619156,0.37334292604105107,0.7125915302961893,0.9276995062828064,0.9657745361328125,0.3587766269935314,0.8548094076994295,25.406214022464894
40,0.2284468412399292,0.5844346282339185,0.5317175232327593,0.8118019104003906,0.9716644287109375,0.2167864965050626,0.5843537433855538,23.945581928745746
41,0.27684998512268066,0.5151303199224652,0.5088840216619256,0.7543761730194092,0.9703521728515625,0.18736964141796675,0.5690790602168654,23.015526558740234
42,0.0666937381029129,0.18513953128272037,0.616245581576713,0.37012848258018494,0.997772216796875,6.849268155697563e-06,-0.227034722742272,27.823952062764796
43,0.15046754479408264,0.5645860314329749,0.3743548704647951,0.5920490026473999,0.9130859375,0.022481719155359677,0.3403213013479287,25.18938995268944
44,0.17952996492385864,0.3670996008298259,0.8039233051855201,0.9348705410957336,0.9820709228515625,0.47095926566444585,0.8649532931149794,26.11502765179404
45,0.11980753391981125,0.40285132929131545,0.8351017174323625,0.885266900062561,0.99603271484375,0.34010319770762004,0.7390552780602642,28.360945496658857
46,0.3034166395664215,0.5360456506521827,0.6252756866731699,0.8352903127670288,0.9767303466796875,0.2615015682801122,0.6857660293281977,23.742739919756076
47,0.2080114185810089,0.40274507877462556,0.620618771725594,0.8633602857589722,0.985504150390625,0.24363117545288576,0.7416484152061675,27.22923285318884
48,0.36112114787101746,0.4169038375933698,0.6490132135163856,0.8487082123756409,0.90899658203125,0.16970636646159454,0.7064659159698319,23.202972947392936
49,0.15806683897972107,0.48882335224557855,0.4881338783707179,0.79683917760849,0.972320556640625,0.10064496745415595,0.6341941242146429,27.30587241021506
50,0.24786661565303802,0.42317381651735914,0.7198072167143249,0.919775664806366,0.948028564453125,0.14486589383231385,0.8173241996392548,25.65780548942978
51,0.1420188546180725,0.500106999831743,0.3100241878514603,0.8519200682640076,0.9757232666015625,0.10416717107704332,0.7253473760408411,22.317183397340333
52,0.20494124293327332,0.44370366828542296,0.719778975516599,0.8782081007957458,0.97637939453125,0.0674704412828667,0.7665041286619898,28.081872917260164
53,0.2597406506538391,0.40708607736886926,0.6353855587829075,0.8749676942825317,0.995330810546875,0.47241470273327113,0.7145492505261959,27.10539189590783
54,0.3767201602458954,0.3752318948357876,0.6789982531450446,0.8915181159973145,0.9258880615234375,0.24275035192542063,0.7772925162079327,23.333811034984777
55,0.11980538070201874,0.3353267082909573,0.8095306213056939,0.9355377554893494,0.9905853271484375,0.38971375893792387,0.8702757462557954,30.522438228618576
56,0.401685893535614,0.3906663734333755,0.6298133559691328,0.8431435823440552,0.949462890625,0.23862086468485869,0.691137907243958,23.171084939464404
57,0.20162995159626007,0.33792004335301745,0.7869134015082414,0.9351112842559814,0.95880126953125,0.1653789287854934,0.870995787584706,28.123409418509393
58,0.17219245433807373,0.4136221272378293,0.7711932235840111,0.9365609884262085,0.9875946044921875,0.2472229192380377,0.82670884616431,27.473817960356026
59,0.14142614603042603,0.31605982997074444,0.8738439409760775,0.9537169337272644,0.990753173828125,0.316027860013702,0.8997072429870837,30.53248872944846
60,0.15518254041671753,0.3729720134087993,0.7491195799213456,0.932521641254425,0.97747802734375,0.3588186972985676,0.8594200155341354,27.415794737722273
61,0.31925296783447266,0.45399948962622305,0.6226543025302878,0.7743648290634155,0.8838043212890625,0.04836302819757208,0.5878021468412058,24.639455614546243
62,0.2654617130756378,0.4579605905779196,0.6524765168481045,0.8934358954429626,0.9775848388671875,0.2799023137733756,0.768752094205923,23.473047528886188
63,0.2202288806438446,0.8128772764136368,0.5294712319208736,0.6160590648651123,0.984649658203125,9.940347971821102e-07,0.33272932457698123,22.66757464903459
64,0.265765905380249,0.39828867721474714,0.7214661343559142,0.902650773525238,0.9571533203125,0.15063546562750585,0.8123548299780521,26.567427459456514
65,0.19976535439491272,0.4663503814854177,0.6058597520811169,0.8921204209327698,0.97845458984375,0.07288307755543168,0.7700579038448233,25.325093993406192
66,0.3574926555156708,0.4234344190046872,0.661932183958606,0.840338408946991,0.924346923828125,0.07327120125771938,0.6975627922441344,24.75274384705103
67,0.25404757261276245,0.44222424247723885,0.6697265648871353,0.8943406939506531,0.9756011962890625,0.3966040012815089,0.797267153189492,24.19828130603214
68,0.1388494074344635,0.5885965892049179,0.8267775598849153,0.721174418926239,0.9936981201171875,2.4213016433374255e-06,0.447857649833444,25.35742144219265
69,0.28270184993743896,0.47740207679912344,0.6984020688024946,0.8837671875953674,0.98809814453125,0.3734944791209003,0.7638413169328216,24.8289016648042
70,0.21646562218666077,0.3913796950054289,0.5090178338536753,0.8882392644882202,0.9409942626953125,0.2879765626999516,0.7286708280038252,23.8565590641073
71,0.21072134375572205,0.33697921959194876,0.7534994814915909,0.937900722026825,0.9463653564453125,0.09871817981585132,0.877466257080771,28.724939174583692
72,0.4040071666240692,0.39656151722027894,0.61137200719602,0.8750599026679993,0.93438720703125,0.20546947422958717,0.7131147003699762,23.450241936097868
73,0.19023540616035461,0.4633733855086122,0.6606399522156846,0.8865182399749756,0.9783172607421875,0.03530275946859506,0.7775608636440883,25.131752808787297
74,0.1161707267165184,0.3326182445658922,0.7053307166640885,0.9186960458755493,0.983062744140625,0.23289617629842688,0.8415565885088052,27.465273245960468
75,0.3924984335899353,0.6429194162217433,0.44717768718983875,0.6798548698425293,0.9748687744140625,0.1781441226825735,0.4305636454525167,22.045029463354147
76,0.1414390206336975,0.554777466543299,0.4447465073938488,0.825732946395874,0.9827880859375,0.19313362436793677,0.6171070403515249,21.19090387842613
77,0.20559334754943848,0.43641635699556264,0.6765755010703272,0.9023852348327637,0.964508056640625,0.13338333331470442,0.8094955152556536,24.70919011762975
78,0.16243669390678406,0.46168869978185995,0.6603801342952087,0.8778308629989624,0.9681243896484375,0.10497039204353383,0.7658405072034418,27.885285437889884
79,0.19486568868160248,0.4411222945307932,0.644965055775451,0.836696207523346,0.9078521728515625,0.04762670751826091,0.6977193059610758,26.788584929352513
80,0.17424821853637695,0.4586546899957935,0.7335148503840838,0.8847295641899109,0.9779052734375,0.20132421327952935,0.7792539947470889,24.865582108412493
81,0.18592141568660736,0.4539231578644496,0.7705724068769555,0.9177780747413635,0.980377197265625,0.2191868735963123,0.792238114922134,26.80268977223852
82,0.07308908551931381,0.2553218294416998,0.8682295644304125,0.8748286366462708,0.9960784912109375,0.3427126784841983,0.7602999550570387,30.297707603446014
83,0.19568172097206116,0.4913243015333984,0.6134197400130303,0.888523519039154,0.9700469970703125,0.2966681129816865,0.7511789400856268,23.136388631938555
84,0.1939084231853485,0.396697272613908,0.7933748959263236,0.9246222376823425,0.9851226806640625,0.17652096577621135,0.8414342190167627,29.010374765670484
85,0.20362260937690735,0.39778181802563817,0.7449743895731755,0.9090593457221985,0.9699859619140625,0.15252083045203338,0.8244651143052021,27.369333532841228
86,0.2165503352880478,0.5143673457869081,0.7418180859883486,0.8995873928070068,0.9706573486328125,0.18100545953770886,0.7312759850535745,25.19308237129306
87,0.28480085730552673,0.5775294252071426,0.7129966580393564,0.8814665675163269,0.9706573486328125,0.1721914885099059,0.6662882429303284,23.230942512502875
88,0.278212308883667,0.4062888381831877,0.7012549532515373,0.900132417678833,0.930419921875,0.06346291569872341,0.8058225910812467,25.098673469548665
89,0.07938764244318008,0.20052388656105596,0.44906236031857466,0.9639911651611328,0.8777923583984375,0.1852493199135992,0.9241504564489271,24.304577068133074
90,0.2353697121143341,0.5235060963914026,0.5787013595685299,0.837717592716217,0.9876861572265625,0.282029108515028,0.6900166968771704,24.914226943098324
