r2,corr,ssim,mse,mae,dice,iou,pred_name
0.343413321981793,0.5941001772880554,0.789403511542375,0.8117988705635071,0.44624561071395874,0.9927074909210205,0.007270163017423549,im_c001_z006_t000_p009_xy0
0.6470705895136241,0.8261415958404541,0.8345334847174777,0.3477168083190918,0.2537224292755127,0.9867777824401855,0.05875765344946278,im_c001_z006_t000_p012_xy0
0.4886081113858476,0.7218683362007141,0.7806962072265026,0.5562645196914673,0.31452587246894836,0.9620473384857178,0.13686716621282585,im_c001_z006_t000_p015_xy0
0.34399565567859214,0.6518508791923523,0.7802767156123085,0.6962980031967163,0.3629873991012573,0.9920423030853271,8.990413151874981e-05,im_c001_z006_t000_p016_xy0
0.38139359237522596,0.7439185380935669,0.7698817494292383,0.5121614933013916,0.3379729092121124,0.9954617023468018,5.253480154794843e-08,im_c001_z006_t000_p018_xy0
0.3249051641098718,0.7673786878585815,0.7705793734135954,0.46524325013160706,0.31867730617523193,0.9933714866638184,0.0010061444122837079,im_c001_z006_t000_p019_xy0
0.608151230468664,0.8112356066703796,0.801594570977853,0.3775292932987213,0.2738266885280609,0.9758200645446777,0.04770937710486129,im_c001_z006_t000_p024_xy0
0.6063654419544017,0.8139293193817139,0.8473744471524044,0.37214112281799316,0.24030709266662598,0.9911684989929199,0.07413519610739863,im_c001_z006_t000_p029_xy0
0.42825317410076214,0.6623121500015259,0.7935217987594833,0.675375759601593,0.3805028200149536,0.9918756484985352,0.046131478946045266,im_c001_z006_t000_p030_xy0
0.42805897462265563,0.6715260744094849,0.8221657199007893,0.6569472551345825,0.3371830880641937,0.9893796443939209,0.027210608477416777,im_c001_z006_t000_p051_xy0
0.594224645269247,0.8342413902282715,0.7892150103466999,0.3315161466598511,0.2639630436897278,0.98140549659729,0.014929344411234328,im_c001_z006_t000_p055_xy0
0.6099006877769673,0.8125476837158203,0.7508403850353998,0.3749041259288788,0.297859787940979,0.981497049331665,0.10730883515104404,im_c001_z006_t000_p066_xy0
0.5952352569605008,0.7804300785064697,0.8450026608191987,0.43914178013801575,0.28531935811042786,0.9838099479675293,1.4740748159383446e-05,im_c001_z006_t000_p075_xy0
0.5475011498512687,0.7467883825302124,0.778531771187693,0.506422758102417,0.3476755619049072,0.9817256927490234,0.006416667663732708,im_c001_z006_t000_p084_xy0
0.5408685231626703,0.7796035408973694,0.8410065398107761,0.44079241156578064,0.2894992232322693,0.9790995121002197,1.1407321088631224e-08,im_c001_z006_t000_p094_xy0
0.11030180648553256,0.5713815689086914,0.7174124061089157,0.8572375774383545,0.4717820882797241,0.9924061298370361,0.01117633692911313,im_c001_z006_t000_p098_xy0
0.25632102351866715,0.7208136916160583,0.7333810505213778,0.5583720207214355,0.35443589091300964,0.99458909034729,0.036101123971071396,im_c001_z006_t000_p100_xy0
0.2579722776085219,0.7311286926269531,0.7372240653035074,0.5377427935600281,0.37013861536979675,0.9931373596191406,0.1386162575228556,im_c001_z006_t000_p101_xy0
0.6323387120746302,0.84666907787323,0.7843996126967637,0.3066609799861908,0.2605001926422119,0.9762411117553711,0.019443470112139663,im_c001_z006_t000_p105_xy0
0.7113691858082578,0.8478831052780151,0.7859743735901807,0.3042331635951996,0.2614133358001709,0.9688317775726318,0.01977266304925796,im_c001_z006_t000_p108_xy0
0.666588754092147,0.8332741856575012,0.7800222596902648,0.3334518074989319,0.26862549781799316,0.9718244075775146,0.02762190804530495,im_c001_z006_t000_p128_xy0
0.25789388028137206,0.7127385139465332,0.7306022586742564,0.5745245218276978,0.34693747758865356,0.9969642162322998,0.024814350554158645,im_c001_z006_t000_p141_xy0
0.3333811900140201,0.7733350992202759,0.7224117966425062,0.4533292353153229,0.3521522283554077,0.9907314777374268,0.15560722092992418,im_c001_z006_t000_p142_xy0
0.608928796833967,0.8215028643608093,0.7780226384656814,0.35699576139450073,0.27941203117370605,0.9764208793640137,0.0008890247015838128,im_c001_z006_t000_p147_xy0
